timestamp,solexs_flux,hel1os_flux
2026-06-30T00:00:00,50.91,86.82
2026-06-30T00:00:10,46.88,84.48
2026-06-30T00:00:20,52.25,76.4
2026-06-30T00:00:30,52.82,72.49
2026-06-30T00:00:40,44.15,65.18
2026-06-30T00:00:50,46.09,77.28
2026-06-30T00:01:00,50.38,92.1
2026-06-30T00:01:10,49.05,82.17
2026-06-30T00:01:20,49.95,77.2
2026-06-30T00:01:30,47.44,82.33
2026-06-30T00:01:40,52.64,72.2
2026-06-30T00:01:50,52.33,78.51
2026-06-30T00:02:00,50.2,80.5
2026-06-30T00:02:10,53.38,79.57
2026-06-30T00:02:20,51.4,83.95
2026-06-30T00:02:30,47.42,81.72
2026-06-30T00:02:40,51.11,83.34
2026-06-30T00:02:50,47.12,76.56
2026-06-30T00:03:00,52.64,84.49
2026-06-30T00:03:10,49.85,88.14
2026-06-30T00:03:20,49.45,75.15
2026-06-30T00:03:30,47.96,75.56
2026-06-30T00:03:40,53.67,86.68
2026-06-30T00:03:50,49.54,79.04
2026-06-30T00:04:00,48.72,87.02
2026-06-30T00:04:10,48.94,77.79
2026-06-30T00:04:20,51.6,87.28
2026-06-30T00:04:30,51.1,80.66
2026-06-30T00:04:40,51.24,81.29
2026-06-30T00:04:50,51.29,87.82
2026-06-30T00:05:00,56.42,78.19
2026-06-30T00:05:10,48.78,75.29
2026-06-30T00:05:20,48.46,77.76
2026-06-30T00:05:30,47.56,82.26
2026-06-30T00:05:40,51.85,72.17
2026-06-30T00:05:50,53.39,83.19
2026-06-30T00:06:00,49.66,77.31
2026-06-30T00:06:10,47.48,85.74
2026-06-30T00:06:20,47.53,68.03
2026-06-30T00:06:30,51.95,76.07
2026-06-30T00:06:40,52.23,71.57
2026-06-30T00:06:50,51.63,75.87
2026-06-30T00:07:00,48.0,81.24
2026-06-30T00:07:10,50.7,79.1
2026-06-30T00:07:20,50.35,78.73
2026-06-30T00:07:30,50.66,79.2
2026-06-30T00:07:40,52.61,81.02
2026-06-30T00:07:50,50.67,74.96
2026-06-30T00:08:00,52.04,83.53
2026-06-30T00:08:10,50.2,83.31
2026-06-30T00:08:20,50.87,81.93
2026-06-30T00:08:30,51.89,82.78
2026-06-30T00:08:40,45.63,81.48
2026-06-30T00:08:50,49.04,90.18
2026-06-30T00:09:00,48.59,79.56
2026-06-30T00:09:10,48.08,78.46
2026-06-30T00:09:20,49.17,76.23
2026-06-30T00:09:30,54.48,74.84
2026-06-30T00:09:40,47.4,73.78
2026-06-30T00:09:50,52.9,75.56
2026-06-30T00:10:00,44.95,79.65
2026-06-30T00:10:10,49.0,81.67
2026-06-30T00:10:20,50.49,80.26
2026-06-30T00:10:30,51.76,76.17
2026-06-30T00:10:40,52.13,84.5
2026-06-30T00:10:50,52.38,83.7
2026-06-30T00:11:00,48.95,79.2
2026-06-30T00:11:10,48.61,76.74
2026-06-30T00:11:20,52.57,82.74
2026-06-30T00:11:30,49.43,80.94
2026-06-30T00:11:40,46.17,72.76
2026-06-30T00:11:50,46.6,79.66
2026-06-30T00:12:00,47.24,81.31
2026-06-30T00:12:10,51.49,75.5
2026-06-30T00:12:20,50.43,80.95
2026-06-30T00:12:30,52.07,72.73
2026-06-30T00:12:40,48.72,86.68
2026-06-30T00:12:50,50.48,86.24
2026-06-30T00:13:00,51.88,78.74
2026-06-30T00:13:10,49.07,81.82
2026-06-30T00:13:20,51.37,67.95
2026-06-30T00:13:30,48.01,74.22
2026-06-30T00:13:40,48.91,78.53
2026-06-30T00:13:50,48.85,74.64
2026-06-30T00:14:00,46.41,83.57
2026-06-30T00:14:10,51.46,89.99
2026-06-30T00:14:20,48.59,74.12
2026-06-30T00:14:30,50.04,75.81
2026-06-30T00:14:40,51.44,81.18
2026-06-30T00:14:50,51.34,88.06
2026-06-30T00:15:00,52.0,73.89
2026-06-30T00:15:10,49.7,81.25
2026-06-30T00:15:20,48.73,89.11
2026-06-30T00:15:30,49.76,71.74
2026-06-30T00:15:40,44.94,73.59
2026-06-30T00:15:50,45.66,77.88
2026-06-30T00:16:00,46.03,77.4
2026-06-30T00:16:10,47.01,84.06
2026-06-30T00:16:20,51.2,81.21
2026-06-30T00:16:30,47.28,71.13
2026-06-30T00:16:40,48.87,82.58
2026-06-30T00:16:50,53.9,77.11
2026-06-30T00:17:00,48.93,86.37
2026-06-30T00:17:10,52.21,76.86
